,0,1
0,0,1.4877654690271107
0,1,1.4876040973835638
0,2,1.4874429759562457
0,3,1.487282104646969
0,4,1.4871214833575948
0,5,1.4869611119900301
0,6,1.4868009904462283
0,7,1.4866411186281898
0,8,1.4864814964379602
0,9,1.486322123777633
0,10,1.4861630005493474
0,11,1.4860041266552888
0,12,1.4858455019976888
0,13,1.4856871264788258
0,14,1.4855290000010246
0,15,1.485371122466655
0,16,1.4852134937781347
0,17,1.4850561138379266
0,18,1.4848989825485395
0,19,1.4847420998125287
0,20,1.484585465532496
0,21,1.4844290796110882
0,22,1.4842729419509995
0,23,1.484117052454969
0,24,1.4839614110257822
0,25,1.4838060175662702
0,26,1.4836508719793113
0,27,1.483495974167828
0,28,1.4833413240347895
0,29,1.4831869214832103
0,30,1.4830327664161518
0,31,1.4828788587367205
0,32,1.4827251983480683
0,33,1.4825717851533935
0,34,1.4824186190559394
0,35,1.4822656999589956
0,36,1.4821130277658972
0,37,1.4819606023800243
0,38,1.4818084237048037
0,39,1.4816564916437072
0,40,1.481504806100251
0,41,1.4813533669779995
0,42,1.4812021741805592
0,43,1.4810512276115853
0,44,1.4809005271747762
0,45,1.4807500727738758
0,46,1.4805998643126757
0,47,1.480449901695009
0,48,1.480300184824758
0,49,1.4801507136058472
0,50,1.480001487942248
0,51,1.4798525077379765
0,52,1.4797037728970948
0,53,1.479555283323709
0,54,1.4794070389219705
0,55,1.4792590395960767
0,56,1.4791112852502688
0,57,1.478963775788835
0,58,1.4788165111161062
0,59,1.4786694911364604
0,60,1.4785227157543184
0,61,1.478376184874148
0,62,1.4782298984004605
0,63,1.4780838562378131
0,64,1.4779380582908077
0,65,1.4777925044640898
0,66,1.4776471946623513
0,67,1.4775021287903278
0,68,1.477357306752801
0,69,1.4772127284545953
0,70,1.4770683938005813
0,71,1.4769243026956742
0,72,1.4767804550448334
0,73,1.4766368507530627
0,74,1.4764934897254114
0,75,1.476350371866972
0,76,1.4762074970828831
0,77,1.4760648652783266
0,78,1.4759224763585295
0,79,1.475780330228763
0,80,1.475638426794343
0,81,1.4754967659606295
0,82,1.4753553476330268
0,83,1.4752141717169838
0,84,1.4750732381179945
0,85,1.4749325467415946
0,86,1.474792097493367
0,87,1.4746518902789374
0,88,1.4745119250039762
0,89,1.4743722015741971
0,90,1.474232719895359
0,91,1.4740934798732648
0,92,1.4739544814137608
0,93,1.473815724422738
0,94,1.4736772088061307
0,95,1.4735389344699188
0,96,1.4734009013201241
0,97,1.4732631092628146
0,98,1.4731255582041
0,99,1.4729882480501355
0,100,1.4728511787071192
0,101,1.4727143500812947
0,102,1.4725777620789473
0,103,1.4724414146064073
0,104,1.4723053075700485
0,105,1.4721694408762886
0,106,1.4720338144315894
0,107,1.4718984281424554
0,108,1.4717632819154358
0,109,1.471628375657122
0,110,1.4714937092741516
0,111,1.471359282673203
0,112,1.4712250957609994
0,113,1.4710911484443085
0,114,1.4709574406299395
0,115,1.4708239722247465
0,116,1.4706907431356269
0,117,1.4705577532695213
0,118,1.4704250025334134
0,119,1.470292490834331
0,120,1.4701602180793443
0,121,1.4700281841755685
0,122,1.46989638903016
0,123,1.46976483255032
0,124,1.4696335146432924
0,125,1.4695024352163646
0,126,1.4693715941768664
0,127,1.4692409914321718
0,128,1.4691106268896978
0,129,1.4689805004569036
0,130,1.4688506120412925
0,131,1.4687209615504109
0,132,1.4685915488918466
0,133,1.4684623739732332
0,134,1.4683334367022451
0,135,1.4682047369866
0,136,1.468076274734059
0,137,1.4679480498524262
0,138,1.4678200622495485
0,139,1.4676923118333156
0,140,1.4675647985116596
0,141,1.467437522192556
0,142,1.4673104827840227
0,143,1.4671836801941207
0,144,1.4670571143309534
0,145,1.4669307851026672
0,146,1.4668046924174512
0,147,1.466678836183537
0,148,1.4665532163091985
0,149,1.4664278327027531
0,150,1.4663026852725594
0,151,1.46617777392702
0,152,1.4660530985745794
0,153,1.4659286591237246
0,154,1.4658044554829845
0,155,1.4656804875609317
0,156,1.4655567552661806
0,157,1.4654332585073873
0,158,1.4653099971932517
0,159,1.4651869712325147
0,160,1.4650641805339601
0,161,1.4649416250064147
0,162,1.4648193045587459
0,163,1.4646972190998646
0,164,1.4645753685387246
0,165,1.4644537527843196
0,166,1.4643323717456873
0,167,1.464211225331907
0,168,1.4640903134521008
0,169,1.4639696360154308
0,170,1.463849192931104
0,171,1.4637289841083678
0,172,1.463609009456511
0,173,1.4634892688848666
0,174,1.4633697623028068
0,175,1.4632504896197487
0,176,1.4631314507451487
0,177,1.4630126455885062
0,178,1.462894074059363
0,179,1.4627757360673022
0,180,1.462657631521948
0,181,1.4625397603329675
0,182,1.4624221224100695
0,183,1.4623047176630035
0,184,1.4621875460015623
0,185,1.4620706073355791
0,186,1.4619539015749288
0,187,1.4618374286295286
0,188,1.4617211884093373
0,189,1.4616051808243544
0,190,1.461489405784622
0,191,1.4613738632002231
0,192,1.4612585529812827
0,193,1.4611434750379668
0,194,1.461028629280483
0,195,1.460914015619081
0,196,1.4607996339640505
0,197,1.460685484225724
0,198,1.4605715663144747
0,199,1.4604578801407173
